Base Currency,Currency,Exchange Rate
AMD,ZWG,0.068185
AMD,ZWL,0.068185
ANG,ANG,1
ANG,AED,2.051676
ANG,AFN,36.714298
ANG,ALL,46.009932
ANG,AMD,212.868295
ANG,AOA,513.777
ANG,ARS,811.312849
ANG,AUD,0.836541
ANG,AWG,1
ANG,AZN,0.948594
ANG,BAM,0.930495
ANG,BBD,1.117318
ANG,BDT,68.292807
ANG,BGN,0.930495
ANG,BHD,0.210056
ANG,BIF,1653.442281
ANG,BMD,0.558659
ANG,BND,0.718168
ANG,BOB,3.866289
ANG,BRL,3.060263
ANG,BSD,0.558659
ANG,BTN,50.246228
ANG,BWP,7.459583
ANG,BYN,1.632938
ANG,BZD,1.117318
ANG,CAD,0.765771
ANG,CDF,1262.888747
ANG,CHF,0.442975
ANG,CLF,0.012765
ANG,CLP,504.574744
ANG,CNH,3.901546
ANG,CNY,3.911128
ANG,COP,2102.441927
ANG,CRC,277.112207
ANG,CUP,13.407821
ANG,CVE,52.45907
ANG,CZK,11.512195
ANG,DJF,99.285475
ANG,DKK,3.549309
ANG,DOP,35.184773
ANG,DZD,72.259697
ANG,EGP,26.646537
ANG,ERN,8.379888
ANG,ETB,86.245919
ANG,EUR,0.475755
ANG,FJD,1.268091
ANG,FKP,0.415042
ANG,FOK,3.549277
ANG,GBP,0.415043
ANG,GEL,1.504645
ANG,GGP,0.415042
ANG,GHS,5.848884
ANG,GIP,0.415042
ANG,GMD,41.066779
ANG,GNF,4879.979158
ANG,GTQ,4.279149
ANG,GYD,116.684751
ANG,HKD,4.347888
ANG,HNL,14.714386
ANG,HRK,3.584572
ANG,HTG,73.09401
ANG,HUF,183.108528
ANG,IDR,9331.59171
ANG,ILS,1.778681
ANG,IMP,0.415042
ANG,INR,50.246392
ANG,IQD,730.880912
ANG,IRR,23626.493788
ANG,ISK,70.027368
ANG,JEP,0.415042
ANG,JMD,88.817782
ANG,JOD,0.396089
ANG,JPY,87.539779
ANG,KES,71.978873
ANG,KGS,48.803493
ANG,KHR,2237.014063
ANG,KID,0.83654
ANG,KMF,234.055873
ANG,KRW,806.067695
ANG,KWD,0.171646
ANG,KYD,0.465549
ANG,KZT,281.455574
ANG,LAK,12086.557022
ANG,LBP,50000
ANG,LKR,173.015545
ANG,LRD,99.359534
ANG,LSL,9.255729
ANG,LYD,3.015889
ANG,MAD,5.090763
ANG,MDL,9.370233
ANG,MGA,2552.806326
ANG,MKD,29.249142
ANG,MMK,1172.106041
ANG,MNT,1977.140694
ANG,MOP,4.478461
ANG,MRU,22.221258
ANG,MUR,25.781271
ANG,MVR,8.62289
ANG,MWK,970.99825
ANG,MXN,10.053878
ANG,MYR,2.266434
ANG,MZN,35.677784
ANG,NAD,9.255729
ANG,NGN,806.95023
ANG,NIO,20.520171
ANG,NOK,5.632223
ANG,NPR,80.393965
ANG,NZD,0.970172
ANG,OMR,0.214803
ANG,PAB,0.558659
ANG,PEN,1.877604
ANG,PGK,2.376771
ANG,PHP,32.944676
ANG,PKR,156.660286
ANG,PLN,2.008073
ANG,PYG,3703.349752
ANG,QAR,2.03352
ANG,RON,2.424168
ANG,RSD,55.837361
ANG,RUB,44.482802
ANG,RWF,813.787274
ANG,SAR,2.094972
ANG,SBD,4.53569
ANG,SCR,7.946724
ANG,SDG,303.481482
ANG,SEK,5.148014
ANG,SGD,0.718168
ANG,SHP,0.415042
ANG,SLE,13.403699
ANG,SLL,13403.699388
ANG,SOS,318.275988
ANG,SRD,21.233573
ANG,SSP,2578.97873
ANG,STN,11.655985
ANG,SYP,6150.185651
ANG,SZL,9.255729
ANG,THB,17.637026
ANG,TJS,5.150458
ANG,TMT,1.953605
ANG,TND,1.613205
ANG,TOP,1.338919
ANG,TRY,23.997209
ANG,TTD,3.785767
ANG,TVD,0.83654
ANG,TWD,17.539644
ANG,TZS,1367.339225
ANG,UAH,23.64462
ANG,UGX,2011.829945
ANG,USD,0.558659
ANG,UYU,21.858448
ANG,UZS,6734.603024
ANG,VES,168.363631
ANG,VND,14624.392667
ANG,VUV,67.027535
ANG,WST,1.542073
ANG,XAF,312.074498
ANG,XCD,1.50838
ANG,XCG,1
ANG,XDR,0.405403
ANG,XOF,312.074498
ANG,XPF,56.772737
ANG,YER,132.982877
ANG,ZAR,9.255743
ANG,ZMW,12.368843
ANG,ZWG,14.514358
ANG,ZWL,14.514358
AOA,AOA,1
AOA,AED,0.003993
AOA,AFN,0.071856
AOA,ALL,0.089664
AOA,AMD,0.414783
AOA,ANG,0.001946
AOA,ARS,1.579115
AOA,AUD,0.001593
AOA,AWG,0.001946
AOA,AZN,0.001849
AOA,BAM,0.001774
AOA,BBD,0.002175
AOA,BDT,0.13144
AOA,BGN,0.001774
AOA,BHD,0.000409
AOA,BIF,3.22007
AOA,BMD,0.001087
AOA,BND,0.001367
AOA,BOB,0.007533
AOA,BRL,0.005833
AOA,BSD,0.001087
AOA,BTN,0.09566
AOA,BWP,0.014408
AOA,BYN,0.003196
AOA,BZD,0.002175
